"row ID","Date","Match Time(s)","Map","Team A Rounds","Team B Rounds","Kills","Assists","Deaths","Mvp's","Points","Result"
"Row189","19/12/2017",2586,"Dust II",16,13,29,5,22,5,77,"Win"
"Row190","19/12/2017",2890,"Dust II",16,14,24,3,20,3,60,"Win"
"Row191","18/12/2017",2508,"Dust II",10,16,13,4,21,2,36,"Lost"
"Row192","18/12/2017",2790,"Inferno",16,14,9,9,24,1,35,"Lost"
"Row193","18/12/2017",2804,"Dust II",16,12,15,10,17,0,47,"Win"
"Row194","18/12/2017",2177,"Dust II",16,7,13,5,19,2,40,"Lost"
"Row195","12/12/2017",2882,"Dust II",15,15,20,7,23,3,50,"Tie"
"Row196","12/12/2017",2603,"Dust II",15,15,27,6,21,3,69,"Tie"
"Row197","12/12/2017",2284,"Mirage",5,16,19,4,12,4,51,"Win"
"Row198","12/12/2017",2112,"Mirage",16,6,23,4,14,6,57,"Win"
"Row199","12/12/2017",2730,"Mirage",15,15,19,5,22,4,56,"Tie"
"Row200","10/12/2017",2803,"Cache",16,13,18,1,18,2,44,"Win"
"Row201","5/12/2017",2243,"Dust II",16,9,11,2,22,0,27,"Lost"
"Row202","1/12/2017",2265,"Mirage",7,16,11,4,14,1,30,"Win"
"Row203","30/11/2017",2996,"Dust II",14,16,25,5,19,4,61,"Win"
"Row204","30/11/2017",2069,"Dust II",16,6,11,3,20,1,25,"Lost"
"Row205","30/11/2017",2013,"Dust II",16,5,10,2,14,0,24,"Lost"
"Row206","27/11/2017",2214,"Mirage",16,9,2,1,8,0,5,"Lost"
"Row207","27/11/2017",1963,"Dust II",7,16,14,0,17,2,28,"Win"
"Row208","26/11/2017",1740,"Dust II",16,5,9,4,20,2,22,"Lost"
"Row209","26/11/2017",2235,"Dust II",16,9,15,5,17,2,39,"Win"
"Row210","26/11/2017",2477,"Dust II",12,16,22,7,17,4,60,"Win"
"Row211","26/11/2017",2088,"Dust II",9,16,23,3,15,3,54,"Win"
"Row212","26/11/2017",2216,"Dust II",16,11,17,1,16,1,41,"Win"
"Row213","25/11/2017",2071,"Dust II",7,16,11,6,20,0,28,"Lost"
"Row214","24/11/2017",2053,"Dust II",16,7,17,3,21,1,41,"Lost"
"Row215","23/11/2017",2652,"Dust II",15,15,11,5,22,1,29,"Tie"
"Row216","22/11/2017",2602,"Dust II",12,16,16,9,19,3,45,"Win"
"Row217","22/11/2017",1608,"Dust II",16,7,9,4,16,0,24,"Win"
"Row218","20/11/2017",2307,"Dust II",8,16,23,11,17,2,57,"Win"
"Row219","20/11/2017",2201,"Mirage",16,8,13,4,20,0,33,"Lost"
"Row220","20/11/2017",2924,"Dust II",12,16,15,4,22,0,41,"Lost"
"Row221","20/11/2017",1758,"Dust II",4,16,6,0,11,0,12,"Lost"
"Row222","20/11/2017",2838,"Dust II",12,16,14,5,22,2,38,"Lost"
"Row223","19/11/2017",2701,"Dust II",10,16,29,5,17,6,75,"Win"
"Row224","19/11/2017",1684,"Dust II",16,4,3,5,15,0,12,"Win"
"Row225","19/11/2017",2362,"Dust II",16,10,21,3,19,2,47,"Lost"
"Row226","19/11/2017",3011,"Dust II",16,13,21,8,26,2,57,"Lost"
