"row ID","Map","Team A Rounds","Team B Rounds","Kills","Assists","Deaths","Mvp's","Points","Result"
"Row455","Dust II",16,7,16,7,16,3,43,"Win"
"Row456","Dust II",16,14,13,3,22,1,40,"Lost"
"Row457","Dust II",16,0,10,0,2,1,20,"Win"
"Row458","Dust II",13,0,6,2,11,0,16,"Lost"
"Row459","Dust II",16,7,23,2,12,4,57,"Win"
"Row460","Dust II",16,7,17,2,17,0,46,"Lost"
"Row461","Dust II",9,16,10,5,20,2,29,"Lost"
"Row462","Mirage",5,16,6,5,17,0,21,"Lost"
"Row463","Mirage",5,16,12,3,19,1,27,"Lost"
"Row464","Dust II",2,16,5,3,18,0,13,"Lost"
"Row465","Dust II",16,4,18,3,14,1,45,"Lost"
"Row466","Dust II",14,16,18,5,19,3,47,"Lost"
"Row467","Dust II",12,16,20,5,22,2,52,"Lost"
"Row468","Dust II",15,15,17,3,22,4,47,"Tie"
"Row469","Inferno",6,16,13,2,18,1,29,"Lost"
"Row470","Dust II",15,15,18,6,23,4,43,"Tie"
"Row471","Inferno",14,16,17,4,22,2,43,"Lost"
"Row472","Dust II",16,10,17,4,21,1,44,"Lost"
"Row473","Dust II",16,9,23,4,14,3,54,"Win"
"Row474","Dust II",16,7,9,5,21,1,25,"Lost"
"Row475","Dust II",16,12,22,6,18,4,54,"Lost"
"Row476","Dust II",16,8,10,4,15,1,28,"Win"
"Row477","Dust II",13,16,0,0,0,0,1,"Lost"
"Row478","Dust II",16,14,18,4,21,1,49,"Lost"
"Row479","Dust II",16,7,10,3,19,1,23,"Lost"
"Row480","Dust II",13,16,17,7,17,0,49,"Win"
"Row481","Dust II",16,5,13,3,14,4,40,"Win"
"Row482","Mirage",16,14,16,1,17,1,42,"Win"
"Row483","Dust II",16,12,19,6,23,2,56,"Lost"
"Row484","Dust II",16,11,13,11,19,2,50,"Win"
"Row485","Dust II",14,16,22,5,20,5,61,"Lost"
"Row486","Dust II",8,16,10,4,19,2,28,"Lost"
"Row487","Dust II",10,16,29,5,16,4,74,"Win"
"Row488","Dust II",10,16,11,7,21,0,29,"Lost"
"Row489","Dust II",16,4,12,3,15,1,33,"Lost"
"Row490","Dust II",13,16,7,2,8,0,16,"Lost"
"Row491","Dust II",16,14,14,6,16,0,43,"Lost"
"Row492","Dust II",8,16,12,0,14,4,39,"Win"
"Row493","Dust II",16,10,16,4,20,2,43,"Lost"
"Row494","Dust II",3,16,9,0,17,0,18,"Lost"
"Row495","Dust II",10,16,14,7,21,2,40,"Lost"
"Row496","Dust II",10,16,3,1,8,0,7,"Lost"
"Row497","Dust II",16,11,22,9,20,1,56,"Lost"
"Row498","Dust II",16,6,11,3,12,1,34,"Win"
